KABUPATEN,Actual_2019,Predicted_2019,Actual_2024,Predicted_2024,Abs_Error_2019,Abs_Error_2024
Kab. Bandung,5.94,9.108408,6.19,10.129274,3.1684079742431637,3.9392743682861324
Kab. Bandung Barat,9.38,9.204187,10.49,9.459855,0.17581260681152422,1.0301449203491213
Kab. Bekasi,4.01,7.6142974,4.8,9.982345,3.604297389984131,5.182344627380371
Kab. Bogor,6.66,8.944032,7.05,12.166948,2.2840317153930663,5.1169483184814455
Kab. Ciamis,6.65,9.328836,7.39,8.882972,2.6788364410400387,1.4929717636108402
Kab. Cianjur,9.15,9.597902,10.14,8.887022,0.44790229797363246,1.2529779815673834
Kab. Cirebon,9.94,9.397184,11.0,8.167746,0.5428156280517573,2.832254409790039
Kab. Garut,8.98,9.672169,9.68,8.411315,0.6921687316894527,1.2686850357055661
Kab. Indramayu,11.11,9.105816,11.93,7.729257,2.0041841125488276,4.200742893218994
Kab. Karawang,7.39,8.614657,7.86,8.296489,1.2246574020385745,0.43648876190185515
Kab. Kuningan,11.41,9.256348,11.88,7.2092133,2.15365234375,4.670786743164063
Kab. Majalengka,10.06,8.897978,10.82,9.052344,1.1620221710205083,1.7676556777954104
Kab. Pangandaran,7.71,9.304153,8.75,10.413337,1.5941534423828125,1.6633367538452148
Kab. Purwakarta,7.48,9.486634,8.41,10.260248,2.006634254455566,1.8502481842041014
Kab. Subang,8.12,9.10054,9.49,9.067859,0.9805401611328133,0.4221413040161135
Kab. Sukabumi,6.22,10.18911,6.87,10.006852,3.969109802246094,3.136852149963379
Kab. Sumedang,9.05,9.0360775,9.1,8.834239,0.013922500610352273,0.2657609939575192
Kab. Tasikmalaya,11.6,10.676363,10.23,9.482368,0.9236370086669918,0.7476315307617192
Kota Bandung,3.38,5.5362906,3.87,11.45572,2.1562906455993653,7.585719947814941
Kota Banjar,5.5,8.39804,5.85,9.117183,2.8980398178100586,3.2671827316284183
Kota Bekasi,3.81,6.649438,4.01,11.57002,2.83943790435791,7.5600197219848635
Kota Bogor,5.77,7.1974797,6.53,13.690818,1.4274797248840336,7.160817832946777
Kota Cimahi,4.39,5.690472,4.39,12.386067,1.3004721260070804,7.996067390441895
Kota Cirebon,8.41,7.4251304,9.02,7.32943,0.9848696327209474,1.6905698966979976
Kota Depok,2.07,5.370795,2.34,12.354037,3.300794773101807,10.014037284851074
Kota Sukabumi,6.67,6.6799808,7.2,12.860406,0.009980754852294993,5.660405921936035
Kota Tasikmalaya,11.6,7.3034806,11.1,10.18377,4.296519374847412,0.9162298202514645
